Position FEN;Position description;Algorithm;Strategy;Depth;Duration [ms]
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square evaluation;5;PT7M3.12666695S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square material evaluation;1;PT0.00035555S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square material evaluation;2;PT0.01420565S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square material evaluation;3;PT0.490869S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square material evaluation;4;PT17.9155088S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square material evaluation;5;PT10M0.5094468S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware material evaluation;1;PT0.00231635S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware material evaluation;2;PT0.01259675S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware material evaluation;3;PT0.3544802S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware material evaluation;4;PT8.83358435S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware material evaluation;5;PT3M6.12402885S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square evaluation;1;PT0.0002758S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square evaluation;2;PT0.0109045S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square evaluation;3;PT0.3375194S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square evaluation;4;PT8.33472915S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square evaluation;5;PT2M59.58496835S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;1;PT0.00039535S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;2;PT0.0155525S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;3;PT0.4321802S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;4;PT10.7148854S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequentialWithCache;Mate aware piece square material evaluation;5;PT3M33.65239615S
