Position FEN;Position description;Algorithm;Strategy;Depth;Duration [ms]
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple material evaluation;2;PT0.01447495S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple material evaluation;3;PT0.6047206S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple material evaluation;4;PT23.2508502S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple material evaluation;5;PT16M0.59273415S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple piece square evaluation;1;PT0.0003459S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple piece square evaluation;2;PT0.01350705S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple piece square evaluation;3;PT0.57537325S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple piece square evaluation;4;PT22.4565914S
1r4r1/5p1k/p2p1q1p/2b1nPQ1/p7/6RP/B1R2PPK/2B5 b - - 0 1;Complex position with many options;MiniMaxSequential;Simple piece square evaluation;5;PT15M35.04969065S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware material evaluation;1;PT0.0002642S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware material evaluation;2;PT0.0105871S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware material evaluation;3;PT0.35996675S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware material evaluation;4;PT13.2879535S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware material evaluation;5;PT7M25.193463S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware material evaluation;1;PT0.000263S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware material evaluation;2;PT0.00073575S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware material evaluation;3;PT0.01019855S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware material evaluation;4;PT0.03158235S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware material evaluation;5;PT0.28909935S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware material evaluation;6;PT0.87638215S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware material evaluation;7;PT6.71213445S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware material evaluation;1;PT0.00036455S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware material evaluation;2;PT0.0021188S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware material evaluation;3;PT0.0555268S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware material evaluation;4;PT2.450976S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware material evaluation;5;PT1M25.4434824S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Piece square material evaluation;1;PT0.00038535S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Piece square material evaluation;2;PT0.0026841S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Piece square material evaluation;3;PT0.0745597S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Piece square material evaluation;4;PT3.14717955S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Piece square material evaluation;5;PT1M48.74177455S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Simple material evaluation;1;PT0.0003523S
